Titre du poste,Entreprise,Adresse,Salaire,Decription,date
Business Developer Junior H/F,Chope Ton Biz Dev,75008 Paris 8e,30 000 € - 45 000 € par an,Business Developer Sédentaire - Startup à Paris*. La startup permettant de résoudre les litiges du quotidien sans avoir recours à un avocat.,Postedil y a 17 jours
nouveauProject Manager No-Code (CDI),FABERNOVEL,Télétravail in Paris (75)+ 1 lieu,,"Créé en 2003 au cœur de l’écosystème numérique français, Fabernovel naît d’une conviction : celle que la technologie a le pouvoir de construire un futur plus…",Postedil y a 4 jours
nouveauBusiness Developer - CDI,FABERNOVEL,Hybrid remote in Paris (75)+ 1 lieu,,"Créé en 2003 au cœur de l’écosystème numérique français, Fabernovel naît d’une conviction : celle que la technologie a le pouvoir de construire un futur plus…",Postedil y a 4 jours
nouveauBUSINESS DEVELOPER H/F - 75008,KERTEL,Paris 8e (75)+ 3 lieux,50 000 € par an,"Kertel est un opérateur Télécom nouvelle génération basé au 66 Avenue des Champs-Elysées spécialisé sur la cible TPE/PME. Type d'emploi : Temps plein, CDI.",PostedPubliée à l'instant
Développeur Frontend Javascript - Télécommunication,Eyetech solutions,Télétravail in Paris (75),45 000 € - 55 000 € par an,Dev Javascript - Intelligence Artificielle dans la Télécommunication. Cette Start-up a mis en place une solution avec l’intelligence artificielle permettant de…,Postedil y a 30+ jours
Machine Learning Developer,Qorvo,Paris (75),,"As a machine learning developer, you will: Qorvo Software group is looking for a Machine Learning developer. You will join a team of AI engineers and developers…",Postedil y a 30+ jours
nouveauCDD / STAGE BUSINESS DEVELOPER,Les Petits Fabricants,Télétravail temporaire in 75011 Paris,1 749 € - 2 500 € par mois,BUSINESS DEVELOPER pour LES PETITS FABRICANTS *. _Présentation de l’agence _*. Les Petits Fabricants est une agence de communication audiovisuelle créée en…,Postedil y a 7 jours
Business Developer H/F,MO//TECH,Télétravail in 75019 Paris 19e,36 000 € - 40 000 € par an,"IMMÉDIAT | MO//TECH |Business developer*. ENTREPRISE | MO//TECH est une entreprise de l’ESS, premier campus virtuel pour la transformation digitale et les…",Postedil y a 24 jours
Business Developer H/F,Labellecom,Télétravail temporaire in 75009 Paris 9e,3 500 € par mois,"Labellecom est une petite entreprise située à 75009 Paris 9e. Notre société est créative, axée sur la collaboration et agréable, et notre objectif est de créer…",Postedil y a 11 jours
nouveauBusiness Developer H/F,WEDOOGIFT,Télétravail in 75008 Paris 8e,32 000 € - 47 000 € par an,"Pour accompagner la croissance de Wedoogift sur les différents produits et services que nous proposons à nos différentes cibles, nous recherchons un.e Business…",Postedil y a 7 jours
