Titre du poste,Entreprise,Adresse,Salaire,Decription,date
QA Manual Tester,The Fork,Paris (75),,Provide feedback and recommendations to developers on software functionality and web usability. Work with the developers to identify and prepare test data…,Postedil y a 30+ jours
Functional Engineer,Tweag,Paris (75),,"Work embedded in a client team on distributed systems, web services, compilers or developer tools, with their engineers and other Tweagers, or.",Postedil y a 30+ jours
Back-End Developer (H/F/X) - Full remote possible,Yousign,Télétravail in Paris (75),,Il dispose également d'une *API puissante qui est facile à intégrer* et facilite l'adoption par les petites entreprises. Des Data Engineers et Data Analysts.,Postedil y a 30+ jours
Team Leader SDR - SaaS et Data F/H,Dream Catcher Sales,Paris 1er (75),,"A partir de 50 k€ brut annuel. Notre client regroupe plusieurs entreprises qui accompagnent les secteurs du Retail, de la Finance ou encore les Services publics…",Postedil y a 25 jours
nouveauBusiness Developer,Lucca,Paris (75),35 000 € - 40 000 € par an,"Compte tenu de notre forte croissance (40% par an en moyenne) et de nos ambitions, nous devons renforcer notre effectif qui est aujourd'hui de 300+ personnes.",PostedPubliée à l'instant
Développeur frontend junior chez un logiciel SaaS internatio...,Data Recrutement,Paris (75),50 000 € - 55 000 € par an,Collaborer avec l'équipe backend. Concevoir l'UX avec le product & design. Vous avez 2 ans d'expérience en développement frontend.,Postedil y a 30+ jours
[CDI] Senior Business Developer Fullstack H/F,Wedoogift,Paris 8e (75),,"Tu justifies d'au moins 2/3 d'expérience réussie en sales. Tu es passionné(e) par le web, le digital et les start-up.",Postedil y a 27 jours
nouveauCloud Systems Developer - AWS/Azure,Cloud Reach,Paris (75),,The core mission of a Cloud Systems Developer is to deliver technical solutions using cutting edge technologies and industry best practices to implement cloud…,Postedil y a 5 jours
Stage Business Developer - Paris,CapCar,Paris 8e (75),,Vendre et expliquer par téléphone notre offre à des vendeurs potentiels. Estimer le prix de vente des véhicules sur la base d’un algorithme et négocier avec les…,Postedil y a 30+ jours
nouveauBusiness Developer Advanced - DPT 75 - 93 F/H,Anaveo,Paris 1er (75),,50 - 90 k€ brut annuel. Secteur d’activité du poste. Vous bénéficiez dès votre arrivée d'une formation complète à nos savoir-faire techniques et commerciaux au…,Postedil y a 3 jours
nouveauBUSINESS DEVELOPER SAAS,Urban Linker,Paris (75),60 000 € - 80 000 € par an,"Lancée en 2019 par 3 experts mobiles qui ont conçu et livré plus de 40 applications grand public internationales depuis 2008, cette start-up est présente en…",Postedil y a 7 jours
nouveauStage Business Developer H/F,Dama Dreams,Télétravail temporaire in 75009 Paris 9e,,Prospection commerciale autour d’une base de données entreprise pour multiplier les événements entreprise dans les Hangars à Enigmes et au Bureau des Légendes.,Postedil y a 6 jours
BUSINESS DEVELOPER EN AGENCE DE COMMUNICATION,Urban Act,Saint-Ouen (93),,"Urban Act, agence de communication à taille humaine, plus de 20 ans d’existence, structure dynamique et en plein développement, propose une offre différenciante…",Postedil y a 30+ jours
Sales Business Developer Junior (H/F),Mister Acquiz,Paris (75),,Mister Acquiz est une agence de marketing digital 360 en développement basée à Paris. Nous élaborons et pilotons des solutions digitales performantes d…,Postedil y a 11 jours
Frontend Developer React JS H/F/D,CAPCO,Paris (75),,"Experts in banking and payments, capital markets and wealth and asset management. Deep knowledge in financial services offering, including e.g. Finance, Risk…",Postedil y a 30+ jours
STAGE – Business Developer Junior - H/F,Smoon Lingerie,75010 Paris 10e,,Participer à la création et à l’enrichissement de notre base de données prospection (identification et qualification). Suivre et gérer notre outil CRM.,Postedil y a 20 jours
nouveauBusiness Developer F/H,GUESTREADY FRANCE,Paris 10e (75),,28 - 34 k€ brut annuel. Etre responsable du développement commercial de GuestReady. Contribuer à l’amélioration de nos processus sales et acquisition.,Postedil y a 4 jours
nouveauBusiness Data Analyst - Freelance,Veepee,Télétravail in Paris (75),,"You will be integrated in a team composed of 2 senior data analysts who will form and frame you, and 2 teams of 5 developers each, which will be in charge of…",Postedil y a 7 jours
Full Stack Developer,Voodoo,Paris (75),,Identify and select the best technical stack to support the product development from scratch (currently using: Node.js and Vue.js). High-end UI/UX sensitivity.,Postedil y a 30+ jours
Global Integration Platform Analyst M/W,Pernod Ricard,Paris (75),,GIP analyst leads the quality assurance and regression testing providing valuable feedback to the developers and solution architects including solution design…,Postedil y a 30+ jours
Business Developer,WeForma,Paris (75),3 000 € par mois,Se diversifiant dans plusieurs domaines d'activités. Envieux de toujours relever de nouveaux défis. Comprendre et répondre aux besoins du client.,Postedil y a 26 jours
Trainee Software Engineer,Finastra,Paris (75),,"Discover the job of a software developer and the interactions with the product management and quality team. As a software developer intern, you will join the …",Postedil y a 9 jours
Stage Business Developer (F/H),Hospitality ON,Paris (75),,Le magazine print français/anglais Hospitality ON. Analyse des ventes et impacts d’actions marketing. Suivi des dossiers courants du service.,Postedil y a 30+ jours
IT Manager,Veepee,Paris (75),,"Your team will be made up of developers, QA and DevOps for instance. To give meaning to the team adopting the right management methods according to the team…",Postedil y a 30+ jours
Embedded firmware developer | Stage H/F,Orosound,75002 Paris 2e,,"You will be in direct contact with developers and researchers in signal processing and electro-acoustic. You will join our R&D division in charge of specifying,…",Postedil y a 30+ jours
Développeur Front-end React,EKYP,Télétravail temporaire in 75003 Paris 3e,43 000 € - 48 000 € par an,"Présente depuis plus de 7 ans, cette start-up propose des solutions de mobilité intelligentes et flexibles afin de faciliter les déplacements dans les zones en…",Postedil y a 30+ jours
Business Developer en contrat d alternance (IDF 92 Boulogne-...,ALIOS CONSEIL,Paris (75),,"Depuis plus de 25 ans, nous mettons notre expertise au service de nos clients tout au long du cycle de développement et de production d’un produit de santé.",Postedil y a 30+ jours
Developer Relations Engineer,Criteo,75009 Paris 9e,,"This person will leverage their strong networks and industry connections; someone who enjoys teaching, speaking or writing about cutting-edge technologies; an…",Postedil y a 30+ jours
Directeur.trice client Industriel - Paris F/H,QUATERNAIRE,Paris 2e (75),,"70 - 80 k€ brut annuel. En tant que conseil ou manager en industrie (Responsable production, directeur d’usine, responsable industriel, responsable amélioration…",Postedil y a 21 jours
Frontend Developer (React) H/F,Data Impact,Paris (75),,"4 – 5 years as a Frontend developer with a significant experience working with React.js. Companies have difficulty exploiting this data, not knowing which…",Postedil y a 15 jours
Manager QA,Qorvo,Télétravail in Paris (75),,"Developing and maintaining a remotely accessible test bench for CI, remote developers, nightly QA tests. Ensuring the best practices for Quality are spread and…",Postedil y a 30+ jours
Business developer Europe,Virtuos Games,Paris (75),,"It also involves operational responsibilities relating to revenue, receivable and client satisfaction. Ultimately, as BD, you will collaborate with our sales…",Postedil y a 30+ jours
Sales Development Representative - (Fluent English),Scaleway,75015 Paris,,This is why Scaleway is looking for a Sales Development Representative with a good knowledge of the Cloud market. Experience of 1 to 3 years in a sales role.,Postedil y a 30+ jours
nouveauBusiness Developer H/F FREELANCE (Communication/Evènementiel...,ALEXYIA,Paris (75),,ALEXYIA est une start-up de Chalon-sur-Saône (71) ayant développé une marketplace d'opportunités commerciales afin de simplifier la prospection des entreprises…,Postedil y a 7 jours
nouveauAccount Manager H/F,Hublo,75011 Paris 11e,45 000 € - 90 000 € par an,"Sous la responsabilité du chef des ventes, vous serez chargé de générer une croissance constante et prévisible des revenus de notre base de clients existants.",Postedil y a 8 jours
nouveauBusiness Developer F/H,Solinki,Paris 2e (75),,33 - 36 k€ brut annuel. Prospection pour développer notre réseau d’agences immobilières partenaires. Participation à différents événements clés.,Postedil y a 4 jours
nouveauSenior Tools Programmer / Programmeur Outils Senior (H/F/NB),Amplitude Studios,Paris (75),,"Ability to work effectively within a team and interact with a large variety of profiles (developers, players’ community, artists…).",PostedAujourd'hui
Business Developer BtoB ️ Irrigation (H/F),CABINET PEPITE,Paris (75),45 000 € - 55 000 € par an,Notre client est un fabricant international de matériel d'irrigation présent dans une 50ne de pays. Développer le portefeuille de distributeurs du négoce…,Postedil y a 30+ jours
SDK Software Engineer,Qorvo,Paris (75),,Keep an eye on state-of-the-art developers practices and workflows. From hardware engineer expecting to click on “run” to evaluate the system to Open-Source…,Postedil y a 30+ jours
nouveauSoftware Developer,Enchanted Tools,Paris (75),,"Software architecture (system, embedded, cloud, ...). Machine learning, image processing sensors fusion, ... You have at least one experience in robotics filed.",Postedil y a 7 jours
Business Developer Énergie H/F,Leyton France,92130 Issy-les-Moulineaux,,Elaborez une stratégie commerciale avec votre manager sur votre secteur géographique. Identifiez les interlocuteurs décisionnaires sur votre portefeuille client…,Postedil y a 30+ jours
nouveauBusiness Developer F/H,Artelia,Saint-Ouen (93),,"Au sein de la Business Unit (BU) Europe & Retail, la Branche multi-sites France intervient principalement dans des projets de développement, d’adaptation, de…",Postedil y a 1 jour
"nouveauControl Systems Engineer, Amazon Logistics, AMZL Controls En...",Amazon EU SARL (FR),Paris (75),,"Bachelor’s degree in Electrical or Mechanical Engineering, Engineering Technology, or other related Engineering. Fluent in English and French.",Postedil y a 5 jours
BUSINESS DEVELOPER EPM H/F,IENA,Puteaux (92),,Définition et suivi d’un plan d’actions commerciales sur votre périmètre ; Fidélisation et saturation des comptes clients existants par une présence régulière…,Postedil y a 30+ jours
Business Developer international.e inwink - H/F,INFINITE SQUARE,Paris (75),,"En nous rejoignant, vous trouverez une ambiance conviviale et une équipe très soudée à l’esprit start-up collaboratif et dynamique.",Postedil y a 30+ jours
Stage 6 mois Marketing / Business Developer,Ezako,Télétravail in Paris (75),,Ezako est une startup innovante spécialisée dans le Big Data et l’Intelligence Artificielle. Dans le cadre de notre expansion nous cherchons un/une stagiare…,Postedil y a 16 jours
nouveauService Designer,Apex Systems,Télétravail temporaire in Paris (75),30 € - 55 € par heure,"The Service Designer will be integrated into the product team composed of the business sponsor, a product owner, a team of data scientists and developers.",Postedil y a 6 jours
GPU Developer Technology Engineer - 130465,"Advanced Micro Devices, Inc.",Paris (75),,The AMD Game Engineering team works closely with external games software developers and publishers to create some of the best games on the planet.,Postedil y a 30+ jours
Fullstack Developer – Confirmed,AB TASTY,Paris (75),,"You have 3-5 years of experience as a Fullstack developer with Node.js. To strengthen the Innovation team, we are looking for a passionate and ambitious…",Postedil y a 18 jours
iOS Developer,Meetic,Télétravail in 75009 Paris,,"Meetic Group est le leader européen des services de rencontres et présent dans 16 pays. Entreprise incontournable de la French Tech, à taille humaine, tout en…",Postedil y a 15 jours
Business Developer Senior H/F,Emerson Audit & Consulting,Paris (75),,"Emerson Audit & Conseil est situé dans le 17ème arrondissement de Paris à proximité du parc Monceau. Constitué d’une équipe de 120 personnes, notre cabinet est…",Postedil y a 30+ jours
Développeur front VueJS - H/F,Gefco,Paris (75),,"Chronotruck, c’est une boite tech’ qui veut transformer le transport routier de marchandises à coups d’algorithmes et de Data ! Developpeur Front VueJS – H/F.",Postedil y a 30+ jours
STAGE - Ingénieur d’affaires / Business Developer - Bureau d...,Extia,Paris (75),,1 avenue de la Cristallerie Bâtiment A 6ème étage 92310 sèvres. 86 rue Regnault 75013 Paris. Vous souhaitez rejoindre une entreprise qui place l’humain au cœur…,Postedil y a 20 jours
Business Developer H/F Alternance,MyRedGo,92600 Asnières-sur-Seine,1 000 € - 2 000 € par mois,"[POSTE À POURVOIR *UNIQUEMENT* EN ALTERNANCE]. L’UBÉRISATION DE LA RÉPARATION DE SMARTPHONES, TABLETTES ET OBJETS CONNECTÉS. Salle de sport (cours collectifs).",Postedil y a 19 jours
Android Developer (Kotlin/Java) - Freelance,Veepee,Télétravail in Paris (75),,"To create special additional tools for developers, and to contribute to the mobile community. The vente-privee group has consolidated its various European…",Postedil y a 30+ jours
Alternance Business Developer junior - Paris (F/H),ISCOD,Paris (75),,"L’ISCOD, spécialiste de la formation en Digital Learning, recherche pour son entreprise partenaire, une société qui vend des accessoires textiles ""responsables""…",Postedil y a 18 jours
"nouveauStagiaire, Bras droit DG / Business developer",EDC PARIS,75019 Paris 19e,,"Grupo Planeta est le premier groupe éditorial, de communication et de formation espagnol. Planeta Formación y Universidades compte plus 100 000 étudiants issus…",Postedil y a 5 jours
Business Developper H/F,Agence Iceberg,75007 Paris 7e,26 109 € - 59 867 € par an,ICEBERG* est une agence de Branding et de communication Globale dédiée aux marques Lifestyle Premium et luxe ; située à Paris et Dubaï depuis 19 ans.,Postedil y a 19 jours
Web Developer (Technology),The Tchoum Agency,Paris (75),,"Our organization has remained true to its core vision and values, even as we have grown and expanded rapidly. We offer a pleasant working environment and if you…",Postedil y a 30+ jours
nouveauProduct Designer (M/F),Happn,Télétravail in Paris (75),,Work with developers during the sprints to make sure the product we ship is aligned with specifications. Applications without a portfolio featuring examples of…,Postedil y a 6 jours
nouveauProduct Owner Checkout (H/F),Rakuten France,75002 Paris 2e,,"Within the ""Checkout"" team (with 4 developers, a lead developer and a QA engineer), you will be the entry point for the various teams concerning the functional…",PostedAujourd'hui
BUSINESS DEVELOPER / ACCOUNT MANAGER H/F,TEEPTRAK SAS,Télétravail temporaire in 75011 Paris 11e,30 000 € - 40 000 € par an,"Tu accompagneras aussi tes collègues lors d’opérations de communication et de salons professionnels. Pour rejoindre une équipe jeune et dynamique, basée à Paris…",Postedil y a 18 jours
Associate - McKinsey Digital,McKinsey & Company,75008 Paris,,"You will play an active role in all aspects of a client project, typically working in teams of 3 to 5 consultants alongside experts and partners of all tenures,…",Postedil y a 30+ jours
Technical Consultant (developer) Sage X3,Deveho Consulting Group,Paris (75),,"Analyze, carry out and document specific developments on Sage X3. Provide technical support to consultants and customers on Sage X3.",Postedil y a 30+ jours
Global Employer Branding Specialist,Murex,Paris (75),,"Support our community of developers in their external branding activities by designing actions (participation in external conferences, hackathons) to help them…",Postedil y a 12 jours
Business Developer H/F - Stage - Immobilier Résidentiel,Nexity,Paris (75),,"Vous êtes en cours de BAC +3/5 (type école de commerce), à la recherche d'un stage de 6 mois.",Postedil y a 30+ jours
nouveauDéveloppeur Salesforce / Freelance,SOFTEAM,Paris (75),400 € - 500 € par jour,"Poste : Développeur Salesforce Qualifications : Minimum de 4 ans d'expérience dans la personnalisation sur la plate-forme Salesforce Lightning, qui devrait…",Postedil y a 4 jours
nouveauAlternance Sales Development Representative / Business Devel...,ISCOD,Paris (75),,"Garantir l’atteinte des objectifs de CA fixés, la maîtrise du cycle de vente et le reporting de l’activité via l’outil CRM.",Postedil y a 6 jours
iOS Developer,Meetic,Télétravail in 75009 Paris,,"Avec votre Squad composée de devs (Front, Back, Mobile), QA, PO, PM, designer UX/UI, Scrum master, vous contribuerez au développement des Apps de rencontre de…",Postedil y a 15 jours
Client Success Developer (H/F/N) - Paris,Ekimetrics,Paris (75),,"Notre mission est d’aider les entreprises à auditer leurs opportunités data, enrichir leur capital analytique, et déployer des solutions actionnables permettant…",Postedil y a 30+ jours
"Senior Analyst, Asset Management, Europe",Ivanhoe Cambridge,Paris (75),,"Coordinate and supervise partners (brokers, developers, property managers, etc.) as they carry out their respective mandates;",Postedil y a 22 jours
Attaché technico-commercial H/F,Loxam,93300 Aubervilliers,2 300 € par mois,"Aujourd‘hui, le réseau LOXAM se compose de plus de 1000 agences implantées sur 30 pays. LOXAM RENTAL* est le pôle généraliste qui permet de répondre aux besoins…",Postedil y a 20 jours
Business Developer (H/F) - Stage,ApiBots,Télétravail temporaire in 75016 Paris 16e,,ApiBots est une startup qui propose à ses clients B2B une solution SaaS de Digital Manager Virtuel depuis 2020. Bac +5 (Master / MBA) (Exigé).,Postedil y a 14 jours
Administrateur système,Alice & Bob,Paris (75),,"Create and manage onboarding and offboarding of employees : Prepare, install the workstations (through automation). Manage user accounts and IT rights.",Postedil y a 29 jours
Quant Analyst - CLO,AXA,Puteaux (92),,Some experience as IT developer in finance (banks or Investment managers). Developing synergies and close collaboration with IT developers to design new tools…,Postedil y a 30+ jours
"Senior Analyst, Asset Management, Europe",Ivanhoe Cambridge,Paris (75),,"Coordinate and supervise partners (brokers, developers, property managers, etc.) as they carry out their respective mandates;",Postedil y a 22 jours
Attaché technico-commercial H/F,Loxam,93300 Aubervilliers,2 300 € par mois,"Aujourd‘hui, le réseau LOXAM se compose de plus de 1000 agences implantées sur 30 pays. LOXAM RENTAL* est le pôle généraliste qui permet de répondre aux besoins…",Postedil y a 20 jours
Business Developer (H/F) - Stage,ApiBots,Télétravail temporaire in 75016 Paris 16e,,ApiBots est une startup qui propose à ses clients B2B une solution SaaS de Digital Manager Virtuel depuis 2020. Bac +5 (Master / MBA) (Exigé).,Postedil y a 14 jours
Administrateur système,Alice & Bob,Paris (75),,"Create and manage onboarding and offboarding of employees : Prepare, install the workstations (through automation). Manage user accounts and IT rights.",Postedil y a 29 jours
Quant Analyst - CLO,AXA,Puteaux (92),,Some experience as IT developer in finance (banks or Investment managers). Developing synergies and close collaboration with IT developers to design new tools…,Postedil y a 30+ jours
Business Developer Semiconductor,Arkamys,Levallois-Perret (92),,"TYPE OF CONTRACT : Permanent contract. As Business Developer Semiconductor, you will actively support the ARKAMYS global business and contribute strongly to…",Postedil y a 30+ jours
Senior Frontend Developer (React),MWM,Paris (75),,"30 apps in music, drawing, photo, and video. Improve our design system by creating well-designed and well-documented components,.",Postedil y a 20 jours
nouveauData Strategist Marketing H/F CDI,FABERNOVEL,Hybrid remote in Paris (75)+ 1 lieu,,"Cette Talent Company rassemble Designers, Strategists, Project Analysts, Developers, Data Analysts, Product Managers, Media Specialists, Finance Managers,…",Postedil y a 4 jours
nouveauBusiness Developer H/F FREELANCE (Communication/Evènementiel...,ALEXYIA,Paris (75),,ALEXYIA est une start-up de Chalon-sur-Saône (71) ayant développé une marketplace d'opportunités commerciales afin de simplifier la prospection des entreprises…,Postedil y a 7 jours
Solutions Engineer,Sketchfab,Paris (75),,Our robust APIs let developers support direct uploading and downloading of 3D models; and configure our embeddable 3D viewer as needed.,Postedil y a 30+ jours
Fonctionnel Architect M/F,transatel,Paris (75),,You identify the impact of projects on the IS architecture. You design solutions with the help of experts in the various domains.,Postedil y a 30+ jours
Technical Writer M/F,The Blockchain Group / Xdev,Télétravail in 92800 Puteaux,40 000 € - 55 000 € par an,"Experience writing for a variety of audiences, from software engineers, system administrators and API developers/integrators to non-technical end users.",Postedil y a 20 jours
Developer IOS,Lydia Solutions,75004 Paris 4e,,"Products: iOS app (Pro & general public), iOS widgets, iMessage extension, Apple Watch app. Tools: Bitbucket, git, Jenkins, Fastlane, Zeplin, Source Tree, Slack…",Postedil y a 30+ jours
Stage - Business developer Junior,Keyzz,92100 Boulogne-Billancourt,,Nurturer les leads régulièrement pour susciter leur intérêt. Utiliser un des CRM leader sur le marché. Gérer la solution Hubspot pour effectuer vos campagnes…,Postedil y a 30+ jours
HR and Office Manager,GitGuardian,75011 Paris 11e,,"You will report directly to the HR Director and work closely with the Finance Team. Ensure that it is clean, welcoming, and full of good vibes.",Postedil y a 19 jours
BUSINESS DEVELOPER F/H,WEBUILD S.P.A.,Paris 8e (75),,Publiée le 05/10/2021. Actualisée le 18/01/2022. Secteur d’activité du poste. CONSTRUCTION D'AUTRES OUVRAGES DE GÉNIE CIVIL NCA.,Postedil y a 21 jours
nouveauSenior Java Developer - Relocation to Switzerland,EPAM Systems,Paris (75),,5 years + as a Java software engineer/developer focused on backend systems. We are looking for an experienced Senior JAVA Developer to come on board and support…,Postedil y a 7 jours
Frontend Developer F/H,ADYOULIKE,Neuilly-sur-Seine (92),,"Publiée le 18/01/2022. Actualisée le 18/01/2022. Secteur d’activité du poste. Pour soutenir sa croissance en France, Adyoulike, leader européen de la Native…",Postedil y a 21 jours
Business Developer (H/F) – CDI,Belacom,Issy-les-Moulineaux (92),,"1er intégrateur français en solutions de Marketing Relationnel, Belacom accompagne les entreprises dans l’élaboration et la mise en place de leur stratégie de…",Postedil y a 30+ jours
Revit Modeller / Civil Engineer France,Fastned,Paris (75)+ 1 lieu,,Join a fast growing & diverse company that matters to the future! At Fastned you can work on tangible sustainable infrastructure to accelerate the transition to…,Postedil y a 30+ jours
"Business Developer-France H/F, Amazon Hub",Amazon France Logistique SAS,Paris (75),,Expérience éprouvée dans la conduite d'alliances stratégiques et de partenariats. Excellentes compétences en communication écrite et orale requises.,Postedil y a 30+ jours
nouveauLead Developer - Full Remote,Anaqua,Télétravail in Paris (75),,"ANAQUA est à la recherche d'un Lead developer au sein de notre filiale ANAQUA Services. En tant que Lead developer, vous êtes intégré(e) dans notre équipe IT…",Postedil y a 6 jours
Développeur Backend - Python,Harnham,Paris (75),45 000 € - 60 000 € par an,Cette Start-Up en pleine expansion (viens de lever plusieurs millions !). Développe une technologie unique et innovante de reconnaissance visuelle sur…,Postedil y a 30+ jours
Plateform Frontend Developer,iziwork,Paris (75),,Iziwork est une startup JobTech qui s’appuie sur l’innovation technologique pour améliorer radicalement l’accès et l’expérience du travail pour tous.,Postedil y a 12 jours
Developer GED - ECM F/H,ARONDOR,Paris 8e (75),,"Developer GED - ECM F/H. Publiée le 06/12/2021. Actualisée le 01/02/2022. A partir de 35 k€ brut annuel. Consultant maîtrise d'ouvrage, MOA.",Postedil y a 30+ jours
nouveauBusiness Developer H/F,Yzzy,Télétravail temporaire in Paris (75),33 000 € - 45 000 € par an,Nous recrutons pour le compte de notre client qui est une scale-up spécialisée dans le domaine immobilier un Business Developer H/F. Sens de la relation client.,Postedil y a 2 jours
Alternance - Chargé de projet digital learning H/F,Transdev,92130 Issy-les-Moulineaux,,Search for content developers for training modules ; Transdev recrute un(e) Chargé(e) de projet digital learning en alternance (H/F).,Postedil y a 30+ jours
BACKEND DEVELOPER,Harnham,Paris (75),40 000 € - 55 000 € par an,Cette Start Up ayant levé plusieurs millions travaille sur un produit d'application mobile lié à l'intelligence artificielle. Vous avez déjà travaillé sur AWS.,Postedil y a 30+ jours
CREATIVE DEVELOPER,Urban Linker,Paris (75),35 000 € - 55 000 € par an,"Ce studio de création, créé en 2019, à pour mission de concevoir des expériences de réalité augmentée (AR) et réalité virtuelle (VR) pour ses différents clients…",Postedil y a 29 jours
Business developer - Foodtech F/H,Neoconnection,Paris 10e (75),,"Business developer - Foodtech F/H. Ils recherchent activement un Business developer H/F sur-motivé(e), pour transformer les prospects à potentiel en clients…",Postedil y a 25 jours
CREATIVE DEVELOPER,Urban Linker,Paris (75),35 000 € - 55 000 € par an,Développement et animations d'éléments graphiques dans un contexte web. Intégrer les différentes expériences (faire en sorte que les animations se lancent au…,Postedil y a 29 jours
Business developer - Foodtech F/H,Neoconnection,Paris 10e (75),,"60 - 65 k€ brut annuel. Dans le secteur ultra-concurrentiel de la foodtech, il faut compter sur notre client. Du sourcing du candidat jusqu'à la finalisation de…",Postedil y a 25 jours
Business Developer H/F - Commercial,AJ FORMATION,75011 Paris 11e,,"Une start-up en mode familial : CFA Cloud Campus, spécialisée dans le développement Web et Mobile, cherche son/sa futur(e) Business développeur B2B afin d…",Postedil y a 14 jours
Frontend Developer (React + Golang),Veepee,Paris (75),,"As a React Developer in vpTech you will be a part of the Stock Tribe, to build the new stock monitoring product. Improvement of the users' experience.",Postedil y a 30+ jours
Business Developer Italia (Bilingue FR/IT) - (F/H),Yespark,Paris (75),,"Tu as déjà une première expérience significative en tant que business developer B2B,. Nous avons développé une plateforme en ligne qui propose des offres d…",Postedil y a 30+ jours
Business Developer Senior (CDI),JUMP Informatique,La Défense (92),,"FinTech française en pleine croissance, JUMP Technology propose une plateforme logicielle innovante permettant d’automatiser et de digitaliser la gestion d…",Postedil y a 30+ jours
nouveauInternship: Data Analyst – Mobile App Tracking (M/F),Shippeo,Paris (75),,"Lead the tracking plan implementation with our mobile app developers. Shippeo, the European leader in supply chain visibility, gives shippers, carriers, and end…",PostedAujourd'hui
Business Developer (stage) H/F,ShareGroop,Télétravail temporaire in Paris (75),,"**Chez ShareGroop, on fait bouger les codes du paiement !**. Améliorent l'expérience de vente des marchands ; Bac +5 (Master / MBA) (Optionnel).",Postedil y a 30+ jours
BALENCIAGA - E-Business Project Manager (F/M),BALENCIAGA S.A.S.,Paris (75),,"Act as project manager for all Front-End projects working with Business Analysts, design teams, developers and UAT coordinators to manage end-to-end project…",Postedil y a 30+ jours
nouveauSenior Software Developer dans une start-up,Licorne Society,Paris (75),,"1 - Remplis ton profil et tes attentes. Le concept est simple, on envoie les plus beaux profils de Senior Software Developer à nos startups préférées (pour ne…",Postedil y a 1 jour
Blockchain Developer,Voodoo,Paris (75),,"Take full ownership of your work, bringing creativity and helpfulness to the workplace every day. Think big and consistently deliver innovation while solving…",Postedil y a 27 jours
nouveauBusiness Developer (H/F),Black-belt,Paris (75),,"Pour une agence de marketing en pleine croissance, nous recherchons un Business Developer (H/F) afin de développer les activités CRM et Business Intelligence.",Postedil y a 1 jour
Java/ Kotlin Developer - France,Dental Monitoring,75017 Paris 17e,,"Through cutting-edge artificial intelligence and virtual solutions, we simplify the lives of dental professionals and enhance patient care.",Postedil y a 30+ jours
Consultant RPA Smart Automation confirmé ( F/H),IBM interactive,Paris (75),,"La Practice Automation d’IBM Interactive intervient sur le cadrage, la conception, le développement et le déploiement de solutions innovantes d’ automatisation…",Postedil y a 30+ jours
nouveauIT Data Analyst - Freelance,Veepee,Télétravail in Paris (75),,"You will be integrated in a team composed of 2 senior data analysts who will form and frame you, and 2 teams of 5 developers each, which will be in charge of…",Postedil y a 7 jours
Développeur IOS (H/F),Parrot Drones,Hybrid remote in 75010 Paris 10e,,Écrire un code qualité et suffisamment bien documenté pour être compris par la communauté open source ; Gérer la résolution des problèmes en interface avec les…,Postedil y a 13 jours
Gameplay Developer,Gameloft,Paris (75),,"En tant que Gameplay Developer chez Gameloft Paris, vous travaillerez au sein du Game Lab, division axée Recherche & Développement.",Postedil y a 30+ jours
Solution Architect,Relation1,92100 Boulogne-Billancourt,,Coach and mentor customers and developers as they learn to implement on Salesforce Commerce Cloud. Architect and design leading ecommerce solutions that support…,Postedil y a 30+ jours
IT Project Manager - Data specialist (m/f),Airbus,Paris (75),,"Lead the data preparation/migration/initialisation of works when implementing some new Business Intelligence project, supporting/supported by PO (Product Owners…",Postedil y a 30+ jours
Lead developer,Aerys,Paris (75),,Contribute to and implement the technological vision of the SmartShape platform. Supervise the design and development of the SmartShape platform.,Postedil y a 30+ jours
Analyst SSA,AXA,Puteaux (92),,Close collaboration with IT developers on the integration of developed tools into other Front office tools. The team is made of 4 investment individuals and is…,Postedil y a 30+ jours
Business Developer Paris H/F,Linkvalue,75017 Paris 17e,,"Ta capacité à convaincre et ton dynamisme pour identifier de nouveaux prospects, qualifier des leads, et développer ton portefeuille clients, (téléphone, mail,…",Postedil y a 30+ jours
nouveauSenior Front-End Developer / Freelance,Hanson Regan Limited,Paris (75),400 € - 500 € par jour,Architecture MACH (Micro Services / API / GCP / Headless). Equipe internationale 10 dev (Avant / Arrière / GCP) Compétences: Vue3 avec TypeScript / TailwindCSS…,Postedil y a 5 jours
BACKEND DEVELOPER - GOLANG,Harnham,Paris (75),45 000 € - 60 000 € par an,Au sein d'une équipe composé. Vous serez amené à repenser l'architecture Backend. Diplomé d'une école d'ingénieur. Maitrise de Golang ou C++.,Postedil y a 30+ jours
Game Developer,8SEC,75004 Paris 4e+ 1 lieu,,Materialize game ideas into full hit games bringing fun to millions of players. Create and design hybrid casual games.,Postedil y a 30+ jours
nouveauResponsable de Zone Île-de-France H/F,YPER,Paris (75),3 000 € - 3 500 € par mois,\* Échanger avec les prospects et/ou clients en vue de comprendre leurs enjeux et de détecter des besoins susceptibles d’être en lien avec l’offre de service d…,Postedil y a 5 jours
Business developer B to B (Alternance,INCENTIVE GESTION LOGISTIQUE,Télétravail temporaire in 93100 Montreuil,,INCENTIVE GESTION LOGISTIQUE est une petite entreprise située à 93100 Montreuil. Notre société est flexible et inclusive. Bac +5 (Master / MBA) (Optionnel).,Postedil y a 30+ jours
nouveauJunior Business and Partnership Developer - Native English S...,Gymglish,75012 Paris 12e,,"The BizDev would be involved in recruitment, management and development of our B2B2C partner network (media, languages, travel and expat websites), and would…",Postedil y a 6 jours
